TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
POR,POR @ DAL,8/11/20,W,48,134,46,98,46.9,15,38,39.5,27,29,93.1,12,36,48,18,8,9,3,31,3,125.2,124.8,0.5,39.1,2.25,13,83.7,53.7,60.5,106,49.2,0.546,0.296,7.5,0.288,0.642,0.407,16.2,0.163,18,13,9,50,13,9,8,36,61.2,38.8,46.3,9,33.6,6.7,20.1,13.4,37.3,32.3,67.7,53.3,46.7,39.1,60.9
MEM,MEM vs. BOS,8/11/20,L,48,107,35,89,39.3,7,29,24.1,30,38,78.9,14,30,44,26,8,8,4,15,-15,110.3,127.1,-16.8,74.3,3.25,18.6,69.6,47.1,50.6,96.5,45.6,0.433,0.427,8.2,0.293,0.605,0.267,15.6,0.304,17,15,11,48,5,14,9,36,67.4,32.6,52.3,7.5,19.6,10.3,28,15.9,44.9,67.9,32.1,100,0,74.3,25.7
NOP,NOP @ SAC,8/11/20,L,48,106,42,82,51.2,7,24,29.2,15,19,78.9,5,29,34,25,19,8,6,18,-6,103.9,109.8,-5.9,59.5,1.32,18.4,65.2,44.3,58.7,102,49.3,0.555,0.232,18.6,0.214,0.551,0.182,20.6,0.348,23,12,12,62,14,12,8,54,70.7,29.3,66,7.5,19.8,11.3,14.2,21.7,58.5,51.4,48.6,100,0,59.5,40.5
HOU,HOU @ SAS,8/11/20,L,48,105,36,89,40.4,14,48,29.2,19,21,90.5,4,33,37,18,18,14,3,19,-18,92.1,107.9,-15.8,50,1,13.1,75.5,40.4,53.4,114,39.1,0.483,0.236,15.8,0.091,0.565,0.215,19.3,0.245,24,11,12,42,32,10,14,48,46.1,53.9,41.9,1.9,40,11.4,18.1,22.9,40,31.8,68.2,78.6,21.4,50,50
BOS,BOS @ MEM,8/11/20,W,48,122,44,86,51.2,16,37,43.2,18,23,78.3,10,36,46,29,15,7,7,27,15,127.1,110.3,16.8,65.9,1.93,20.9,70.7,52.9,63.5,96.5,54.4,0.605,0.267,15.6,0.304,0.433,0.427,8.2,0.293,5,14,9,36,17,15,11,48,57,43,45.9,16.4,39.3,7.4,14.8,4.1,29.5,53.6,46.4,87.5,12.5,65.9,34.1
DAL,DAL vs. POR,8/11/20,L,48,131,42,81,51.9,20,44,45.5,27,33,81.8,5,32,37,28,17,4,5,23,-3,124.8,125.2,-0.5,66.7,1.65,20,71.2,46.3,68.6,106,50.8,0.642,0.407,16.2,0.163,0.546,0.296,7.5,0.288,13,9,8,36,18,13,9,50,45.7,54.3,33.6,6.1,45.8,6.1,20.6,9.9,27.5,54.5,45.5,80,20,66.7,33.3
ORL,ORL vs. BKN,8/11/20,L,48,96,32,83,38.6,7,23,30.4,25,29,86.2,12,37,49,13,17,9,3,24,-12,95,106.9,-11.9,40.6,0.76,10.2,75.5,50.9,50.1,101,40.7,0.428,0.349,16.8,0.264,0.5,0.27,14.9,0.245,18,15,12,36,13,5,15,44,72.3,27.7,52.1,14.6,21.9,12.5,26,18.8,37.5,36,64,57.1,42.9,40.6,59.4
SAS,SAS vs. HOU,8/11/20,W,48,123,46,93,49.5,13,32,40.6,18,20,90,9,50,59,28,22,10,5,20,18,107.9,92.1,15.8,60.9,1.27,18.3,90.9,59.6,60.4,114,60.9,0.565,0.215,19.3,0.245,0.483,0.236,15.8,0.091,32,10,14,48,24,11,12,42,65.6,34.4,53.7,14.6,31.7,11.4,14.6,26,39,48.5,51.5,92.3,7.7,60.9,39.1
PHI,PHI vs. PHX,8/11/20,L,48,117,46,93,49.5,15,33,45.5,10,14,71.4,11,23,34,28,9,5,4,20,-13,128.6,139.8,-11.2,60.9,3.11,20.6,63.4,46.7,59,92,42.5,0.575,0.151,9.9,0.333,0.618,0.236,7.5,0.366,9,11,3,54,21,19,15,66,64.5,35.5,53,6.8,38.5,2.6,8.5,7.7,46.2,48.4,51.6,86.7,13.3,60.9,39.1
WAS,WAS vs. MIL,8/11/20,L,48,113,39,95,41.1,12,35,34.3,23,30,76.7,11,33,44,22,11,2,3,23,-13,105.6,116.7,-11.1,56.4,2,15.4,75,46.7,52.2,107.5,41.3,0.474,0.316,10.3,0.237,0.609,0.322,13.9,0.25,18,14,4,38,8,10,19,48,63.2,36.8,47.8,14.2,31.9,3.5,20.4,15.9,33.6,40.7,59.3,91.7,8.3,56.4,43.6
